## Filter transmission curves for all possible WFC filters
## EE is encircled energy (%) at a given radius in pixels
## arcsec. EEERR is the std dev. 
## From M Sirianni
##
## K Anderson, 3-10-2003
##
## 2nd block of data has been removed
##
# 1	radius_pix
# 2	radius_asec
# 3	EE_F435W
# 4	EEERR_F435W
# 5	EE_F475W
# 6	EEERR_F475W
# 7	EE_F502N
# 8	EEERR_F502N
# 9	EE_F550M
# 10	EEERR_F550M
# 11	EE_F555W
# 12	EEERR_F555W
# 13	EE_F606W
# 14	EEERR_F606W
# 15	EE_F625W
# 16	EEERR_F625W
# 17	EE_F658N
# 18	EEERR_F658N
# 19	EE_F660N
# 20	EEERR_F660N
# 21	EE_F775W
# 22	EEERR_F775W
# 23	EE_F814W
# 24	EEERR_F814W
# 25	EE_F850LP
# 26	EEERR_F850LP
# 27	EE_F892N
# 28	EEERR_F892N
##
##                      F435W	      F475W	       F502N	       F550M 	       F555W	       F606W	      F625W	       F658N           F660N	      F775W	        F814W	      F850LP         F892N
##   pix   arcsec    ee      stdv   ee      stdv    ee      stdv     ee    stdv     ee     stdv      ee     stdv    ee      stdv    ee      stdv    ee      stdv    ee      stdv    ee      stdv     ee    stdv     ee      stdv
  63.000   3.150  99.187   0.200 100.032   0.213  99.542   0.214 100.115   0.062  99.411   0.179  99.580   0.125  99.318   0.052  99.543   0.154  99.867   0.006  99.206   0.026  99.131   0.028  98.971   0.124  98.544   0.103
  64.000   3.200  99.240   0.203 100.048   0.214  99.571   0.213 100.132   0.052  99.450   0.184  99.612   0.134  99.359   0.058  99.576   0.158  99.929   0.011  99.274   0.018  99.153   0.038  99.060   0.117  98.578   0.114
  65.000   3.250  99.466   0.090 100.056   0.207  99.397   0.102 100.153   0.026  99.470   0.193  99.646   0.141  99.376   0.063  99.601   0.168  99.973   0.007  99.280   0.024  99.078   0.099  99.115   0.115  98.631   0.115
  66.000   3.300  99.515   0.088 100.076   0.198  99.425   0.103 100.214   0.002  99.523   0.193  99.681   0.147  99.441   0.082  99.646   0.171 100.020   0.026  99.324   0.015  99.250   0.033  99.184   0.122  98.668   0.116
  67.000   3.350  99.397   0.203 100.103   0.201  99.667   0.215 100.264   0.007  99.564   0.200  99.711   0.151  99.653   0.181  99.677   0.175 100.064   0.049  99.390   0.001  99.334   0.030  99.265   0.123  98.700   0.117
  68.000   3.400  99.429   0.209 100.107   0.199  99.682   0.212 100.307   0.001  99.586   0.208  99.734   0.154  99.669   0.181  99.703   0.178 100.090   0.045  99.443   0.012  99.393   0.019  99.333   0.121  98.763   0.117
  69.000   3.450  99.459   0.210 100.108   0.201  99.683   0.207 100.332   0.029  99.593   0.200  99.745   0.156  99.655   0.185  99.736   0.186 100.116   0.037  99.487   0.031  99.405   0.013  99.369   0.120  98.819   0.116
  70.000   3.500  99.491   0.210 100.126   0.202  99.682   0.203 100.336   0.052  99.598   0.192  99.744   0.155  99.662   0.187  99.765   0.189 100.132   0.027  99.513   0.038  99.436   0.013  99.398   0.113  98.853   0.108
  71.000   3.550  99.532   0.196 100.126   0.183  99.667   0.190 100.298   0.057  99.611   0.185  99.739   0.149  99.672   0.178  99.767   0.176 100.154   0.003  99.429   0.087  99.446   0.025  99.423   0.103  98.876   0.103
  72.000   3.600  99.553   0.196 100.267   0.109  99.663   0.182 100.265   0.060  99.603   0.188  99.752   0.152  99.672   0.176  99.791   0.170 100.174   0.036  99.576   0.135  99.462   0.039  99.446   0.108  98.921   0.100
